,context,question,answer
10,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,What was the first album Beyoncé released as a solo artist?,Dangerously in Love
11,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,When did Beyoncé release Dangerously in Love?,2003
12,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,How many Grammy awards did Beyoncé win for her first solo album?,five
13,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,What was Beyoncé's role in Destiny's Child?,lead singer
14,Born September four be Associate_in_Nursing American singer songwriter record manufacturer actress Born raise inch Houston Texas perform inch assorted singing dancing competition arsenic angstrom child rose fame inch late nineties arsenic lead singer roentgen bacillus destiny child pull_off by father group become one universe best-selling girl group all time suspension proverb release introduction album perilously inch love establish arsenic angstrom solo artist worldwide gain five award have billboard hot hundred singles crazy inch love baby male_child,What was the name of Beyoncé's first solo album?,Dangerously in Love
15,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,"After her second solo album, what other entertainment venture did Beyonce explore?",acting
16,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,Which artist did Beyonce marry?,Jay Z
17,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,"To set the record for Grammys, how many did Beyonce win?",six
18,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,For what movie did Beyonce receive  her first Golden Globe nomination?,Dreamgirls
19,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,When did Beyonce take a hiatus in her career and take control of her management?,2010
20,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,Which album was darker in tone from her previous work?,Beyoncé
21,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",Cadillac Records
22,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,When did Destiny's Child end their group act?,June 2005
23,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,What was the name of Beyoncé's second solo album?,B'Day
24,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,"What was Beyoncé's first acting job, in 2006?",Dreamgirls
25,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,Who is Beyoncé married to?,Jay Z
26,following disbandment destiny child inch June let_go_of second solo album incorporate hit irreplaceable beautiful liar besides venture acting angstrom aureate performance inch star function inch pink jaguar haunt marriage rapper Jay omega portrayal James inch record influence one-third album iodine americium ferocious proverb birth ferocious gain angstrom six award inch include song year single lady put_option angstrom ring on information_technology take angstrom suspension music inch take over management career fourth album four Washington subsequently laid-back inch tone research seventies funk eighties dad nineties soul critically acclaim fifth studio album Washington distinguish previous release by information_technology experimental production exploration dark subject,What is the name of Beyoncé's alter-ego?,Sasha Fierce
27,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,"In her music, what are some recurring elements in them?","love, relationships, and monogamy"
28,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,Time magazine named her one of the most 100 what people of the century?,influential
29,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,Which magazine declared her the most dominant woman musician?,Forbes
30,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,2000s
31,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,What magazine rated Beyonce as the most powerful female musician in 2015?,Forbes
32,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,How did Beyonce describe herself as a feminist?,modern-day feminist
33,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,In which years did Time rate Beyonce in the 100 most influential people in the world?,2013 and 2014
34,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,How many records has Beyonce sold in her 19 year career?,118 million
35,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,How many records did Beyoncé sell as part of Destiny's Child?,60 million
36,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",118 million
37,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,How many Grammy awards has Beyoncé won?,20
38,angstrom contemporary feminist make song are frequently qualify by subject love relationship monogamy arsenic well arsenic female sex authorization on phase moral_force highly choreograph performance rich_person light-emitting_diode critic acclaim arsenic one best entertainer inch contemporary popular music throughout angstrom career cross nineteen old_age hour_angle sell over million record arsenic angstrom solo artist angstrom foster sixty million destiny child devising one best-selling music artist all time hour_angle South_Korean_won twenty award be most nominate woman inch award history recording industry association United_States acknowledge arsenic top attest artist inch United_States decade inch billboard name top radio song artist decade top female artist artist millennium inch time list hundred most influential people inch universe inch magazine besides list arsenic most powerful female musician,What magazine named Beyoncé as the most powerful female musician for 2015?,Forbes
39,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,Beyonce's younger sibling also sang with her in what band?,Destiny's Child
40,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,Where did Beyonce get her name from?,her mother's maiden name
41,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,What race was Beyonce's father?,African-American
42,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,Beyonce's childhood home believed in what religion?,Methodist
43,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,Beyonce's father worked as a sales manager for what company?,Xerox
44,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,Beyonce's mother worked in what industry?,hairdresser and salon owner
45,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,What younger sister of Beyonce also appeared in Destiny's Child?,Solange
46,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,Beyonce is a descendent of what Arcadian leader?,Joseph Broussard
47,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,What company did Beyoncé's father work for when she was a child?,Xerox
48,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,What did Beyoncé's mother own when Beyoncé was a child?,salon
49,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,What is the name of Beyoncé's younger sister?,Solange
50,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,Beyoncé is a descendant of which Acadian leader?,Joseph Broussard.
51,Washington Born inch Houston Texas angstrom hairdresser salon owner angstrom xerox gross_sales director name be angstrom tribute mother maid name younger sister be besides angstrom singer angstrom former member destiny child be African-American while be Louisiana Creole descent African native American French Cajun distant Irish Spanish lineage done mother be angstrom descendant Acadian leader Joseph Washington raise inch angstrom Methodist family,Beyoncé was raised in what religion?,Methodist
52,attend Mary elementary school inch Fredericksburg Texas enroll inch dance class singing endowment Washington detect dance teacher Johnson get_down hum angstrom song complete information_technology able hit high note interest inch music acting continue after winning angstrom school endowment show astatine age seven singing toilet Lennon imagine beat inch fall enroll inch Parker elementary school angstrom music magnet school inch Houston perform school choir besides attend high school acting ocular humanistic_discipline later high school Washington besides angstrom member choir astatine toilet unite Methodist church arsenic angstrom soloist two old_age,What town did Beyonce go to school in?,Fredericksburg
53,attend Mary elementary school inch Fredericksburg Texas enroll inch dance class singing endowment Washington detect dance teacher Johnson get_down hum angstrom song complete information_technology able hit high note interest inch music acting continue after winning angstrom school endowment show astatine age seven singing toilet Lennon imagine beat inch fall enroll inch Parker elementary school angstrom music magnet school inch Houston perform school choir besides attend high school acting ocular humanistic_discipline later high school Washington besides angstrom member choir astatine toilet unite Methodist church arsenic angstrom soloist two old_age,Who was the first person to notice Beyonce's singing ability?,Darlette Johnson
54,attend Mary elementary school inch Fredericksburg Texas enroll inch dance class singing endowment Washington detect dance teacher Johnson get_down hum angstrom song complete information_technology able hit high note interest inch music acting continue after winning angstrom school endowment show astatine age seven singing toilet Lennon imagine beat inch fall enroll inch Parker elementary school angstrom music magnet school inch Houston perform school choir besides attend high school acting ocular humanistic_discipline later high school Washington besides angstrom member choir astatine toilet unite Methodist church arsenic angstrom soloist two old_age,Beyonce moved to which town after she left her first elementary school?,Houston
55,attend Mary elementary school inch Fredericksburg Texas enroll inch dance class singing endowment Washington detect dance teacher Johnson get_down hum angstrom song complete information_technology able hit high note interest inch music acting continue after winning angstrom school endowment show astatine age seven singing toilet Lennon imagine beat inch fall enroll inch Parker elementary school angstrom music magnet school inch Houston perform school choir besides attend high school acting ocular humanistic_discipline later high school Washington besides angstrom member choir astatine toilet unite Methodist church arsenic angstrom soloist two old_age,Which of her teachers discovered Beyonce's musical talent?,dance instructor Darlette Johnson
56,attend Mary elementary school inch Fredericksburg Texas enroll inch dance class singing endowment Washington detect dance teacher Johnson get_down hum angstrom song complete information_technology able hit high note interest inch music acting continue after winning angstrom school endowment show astatine age seven singing toilet Lennon imagine beat inch fall enroll inch Parker elementary school angstrom music magnet school inch Houston perform school choir besides attend high school acting ocular humanistic_discipline later high school Washington besides angstrom member choir astatine toilet unite Methodist church arsenic angstrom soloist two old_age,I which church was Beyonce  a member and soloist  in the choir?,St. John's United Methodist Church
57,attend Mary elementary school inch Fredericksburg Texas enroll inch dance class singing endowment Washington detect dance teacher Johnson get_down hum angstrom song complete information_technology able hit high note interest inch music acting continue after winning angstrom school endowment show astatine age seven singing toilet Lennon imagine beat inch fall enroll inch Parker elementary school angstrom music magnet school inch Houston perform school choir besides attend high school acting ocular humanistic_discipline later high school Washington besides angstrom member choir astatine toilet unite Methodist church arsenic angstrom soloist two old_age,What type of school was Parker Elementary School?,music magnet school
58,attend Mary elementary school inch Fredericksburg Texas enroll inch dance class singing endowment Washington detect dance teacher Johnson get_down hum angstrom song complete information_technology able hit high note interest inch music acting continue after winning angstrom school endowment show astatine age seven singing toilet Lennon imagine beat inch fall enroll inch Parker elementary school angstrom music magnet school inch Houston perform school choir besides attend high school acting ocular humanistic_discipline later high school Washington besides angstrom member choir astatine toilet unite Methodist church arsenic angstrom soloist two old_age,Which song did Beyonce sing to win a competition at age 7?,Imagine
